City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,Zaoyang,32.1272,112.7542,76.12,92,53,0.96,CN,2021-07-21 18:37:33
239,Oranjemund,-28.55,16.4333,53.49,64,0,13.51,NA,2021-07-21 18:37:33
240,Lompoc,34.6391,-120.4579,88.21,74,1,12.66,US,2021-07-21 18:37:34
241,Jalu,29.0331,21.5482,89.42,32,0,12.64,LY,2021-07-21 18:37:34
242,East London,-33.0153,27.9116,59.94,21,0,9.22,ZA,2021-07-21 18:34:11
243,Olga,43.7444,135.2892,68.27,98,100,1.59,RU,2021-07-21 18:37:34
244,Muana,-1.5283,-49.2167,86.52,62,91,5.14,BR,2021-07-21 18:37:35
245,Paithan,19.4833,75.3833,74.88,92,100,19.15,IN,2021-07-21 18:37:35
246,Anloga,5.7947,0.8973,79.02,81,33,15.64,GH,2021-07-21 18:37:35
247,Saint-Leu,-21.15,55.2833,68.86,75,35,7.14,RE,2021-07-21 18:37:36
248,Henties Bay,-22.116,14.2845,56.86,82,0,9.17,NA,2021-07-21 18:37:36
249,Duekoue,6.7472,-7.3496,74.59,86,49,2.39,CI,2021-07-21 18:37:36
250,Kitob,39.0843,66.8332,81.18,24,5,4.5,UZ,2021-07-21 18:37:36
251,Saskylakh,71.9167,114.0833,56.57,68,100,13.35,RU,2021-07-21 18:37:37
252,Westport,41.1415,-73.3579,82.33,64,75,12.66,US,2021-07-21 18:35:02
253,Uyuni,-20.4597,-66.825,52.32,16,0,11.07,BO,2021-07-21 18:37:37
254,Lapeer,43.0514,-83.3188,76.23,46,75,6.91,US,2021-07-21 18:37:38
255,Pevek,69.7008,170.3133,40.12,67,4,1.3,RU,2021-07-21 18:37:38
256,Ancud,-41.8697,-73.8203,53.13,85,100,12.15,CL,2021-07-21 18:37:38
257,Itarema,-2.9248,-39.9167,83.79,58,58,18.25,BR,2021-07-21 18:37:38
258,Carnarvon,-24.8667,113.6333,55.47,68,75,3.44,AU,2021-07-21 18:37:39
259,Bourail,-21.5667,165.4833,62.94,82,0,3.76,NC,2021-07-21 18:37:39
260,Nikolskoye,59.7035,30.7861,62.49,59,15,4.32,RU,2021-07-21 18:37:39
261,Kumba,4.6363,9.4469,72.63,92,100,1.68,CM,2021-07-21 18:37:40
262,Coquimbo,-29.9533,-71.3436,55.13,76,40,12.66,CL,2021-07-21 18:37:13
263,Mahebourg,-20.4081,57.7,71.89,64,40,17.27,MU,2021-07-21 18:37:40
264,Nambucca Heads,-30.65,153.0,51.8,69,6,8.68,AU,2021-07-21 18:37:40
265,Halberstadt,51.9,11.05,68.79,80,74,3.58,DE,2021-07-21 18:37:41
266,Zhezkazgan,47.8043,67.7144,75.69,33,0,14.56,KZ,2021-07-21 18:37:41
267,Marsh Harbour,26.5412,-77.0636,84.74,72,99,10.27,BS,2021-07-21 18:37:42
268,Pangkalanbuun,-2.6833,111.6167,73.8,98,100,1.97,ID,2021-07-21 18:37:42
269,Narsaq,60.9167,-46.05,52.02,98,100,1.32,GL,2021-07-21 18:37:43
270,Sur,22.5667,59.5289,95.97,43,76,11.32,OM,2021-07-21 18:37:43
271,Bulolo,-7.2,146.65,68.81,98,90,0.69,PG,2021-07-21 18:37:43
272,Rodnikovskaya,44.7644,40.6656,74.68,83,0,7.16,RU,2021-07-21 18:37:44
273,Oleksandrivka,48.9634,32.2349,66.51,85,79,12.01,UA,2021-07-21 18:37:44
274,Sarakhs,36.5449,61.1577,95.14,18,4,4.61,IR,2021-07-21 18:37:44
275,Gdov,58.7406,27.8122,60.28,49,0,9.15,RU,2021-07-21 18:37:45
276,Buin,-33.7333,-70.75,79.12,19,99,4.12,CL,2021-07-21 18:37:45
277,Shingu,33.7333,135.9833,75.9,89,100,5.46,JP,2021-07-21 18:37:46
278,Pahrump,36.2083,-115.9839,95.25,23,99,1.99,US,2021-07-21 18:36:50
279,Coihaique,-45.5752,-72.0662,55.35,67,75,4.61,CL,2021-07-21 18:37:46
280,Fortuna,40.5982,-124.1573,68.94,67,40,5.01,US,2021-07-21 18:37:46
281,Bereznik,62.8551,42.7072,48.51,63,70,2.01,RU,2021-07-21 18:37:47
282,Iralaya,15.0,-83.2333,84.22,73,100,15.26,HN,2021-07-21 18:37:47
283,Brae,60.3964,-1.353,53.51,89,35,12.26,GB,2021-07-21 18:37:47
284,Morozovsk,48.3539,41.8261,88.48,68,9,10.36,RU,2021-07-21 18:37:48
285,Tepeaca,18.9667,-97.9,73.44,36,13,4.56,MX,2021-07-21 18:37:48
286,Lishan,31.8576,113.2951,76.75,92,71,2.44,CN,2021-07-21 18:37:48
287,Tres Arroyos,-38.3739,-60.2798,60.03,43,100,9.95,AR,2021-07-21 18:37:49
