City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,San Quintin,30.4833,-115.95,68.58,82,100,6.4,MX,2021-07-25 17:39:47
221,Henties Bay,-22.116,14.2845,70.36,34,1,9.31,NA,2021-07-25 17:37:24
222,Svetlyy,54.675,20.1347,78.85,70,64,9.98,RU,2021-07-25 17:39:48
223,Kutum,14.2,24.6667,69.57,81,96,13.09,SD,2021-07-25 17:39:48
224,Krasnoselkup,65.7,82.4667,57.24,88,70,6.38,RU,2021-07-25 17:39:26
225,Sham Churasi,31.4997,75.7494,89.01,61,100,7.18,IN,2021-07-25 17:39:48
226,Lavrentiya,65.5833,-171.0,44.06,99,100,4.99,RU,2021-07-25 17:39:49
227,Rio Brilhante,-21.8019,-54.5464,92.12,21,0,8.81,BR,2021-07-25 17:39:49
228,Palatka,29.6486,-81.6376,92.01,66,35,9.28,US,2021-07-25 17:39:50
229,Coahuayana,18.7333,-103.6833,89.08,63,93,5.3,MX,2021-07-25 17:38:38
230,Osorno,-40.5667,-73.15,48.51,81,75,8.05,CL,2021-07-25 17:39:50
231,Hualmay,-11.0964,-77.6139,67.37,73,23,8.72,PE,2021-07-25 17:39:07
232,Bah,26.87,78.5975,90.46,60,100,8.32,IN,2021-07-25 17:39:51
233,Katsuura,35.1333,140.3,81.1,86,8,11.43,JP,2021-07-25 17:38:19
234,Pincher Creek,49.4833,-113.952,80.71,43,1,2.3,CA,2021-07-25 17:39:51
235,Kruisfontein,-34.0033,24.7314,53.71,45,59,3.13,ZA,2021-07-25 17:38:24
236,Cabedelo,-6.9811,-34.8339,77.67,70,8,15.48,BR,2021-07-25 17:39:52
237,Cap Malheureux,-19.9842,57.6142,72.09,60,0,10.0,MU,2021-07-25 17:39:52
238,Mahebourg,-20.4081,57.7,71.89,60,40,11.5,MU,2021-07-25 17:38:19
239,Honningsvag,70.9821,25.9704,46.15,76,75,13.8,NO,2021-07-25 17:39:53
240,Yaan,7.3833,8.5667,73.35,92,87,5.75,NG,2021-07-25 17:39:53
241,Teguldet,57.3064,88.1667,65.01,76,99,1.07,RU,2021-07-25 17:39:54
242,La Ronge,55.1001,-105.2842,64.65,59,75,8.05,CA,2021-07-25 17:39:54
243,Guaratuba,-25.8828,-48.5747,79.39,59,7,5.55,BR,2021-07-25 17:39:55
244,Touros,-5.1989,-35.4608,85.1,60,14,18.21,BR,2021-07-25 17:38:33
245,Bima,-8.4667,118.7167,69.17,93,48,3.89,ID,2021-07-25 17:39:56
246,Pombas,17.1503,-25.0201,80.38,73,67,12.88,CV,2021-07-25 17:39:56
